L,T,S,PY,B,D,X,SP,P,Y,HDate,H,SSC
B,B1,0,2011,1,1,1,na,311,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,312,2011,2011,2011,10.9
B,B1,0,2011,1,1,1,na,313,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,314,2011,2011,2011,11.2
B,B1,0,2011,1,1,1,na,315,2011,2011,2011,11.4
B,B1,0,2011,1,1,1,na,316,2011,2011,2011,9.8
B,B1,0,2011,1,1,1,na,317,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,318,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,319,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,320,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,321,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,322,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,323,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,324,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,325,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,326,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,327,2011,2011,2011,12.1
B,B1,0,2011,1,1,1,na,328,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,329,2011,2011,2011,12.5
B,B1,0,2011,1,1,1,na,330,2011,2011,2011,8
B,B1,0,2011,1,1,1,na,331,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,332,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,333,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,334,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,335,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,336,2011,2011,2011,13.3
B,B1,0,2011,1,1,1,na,337,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,338,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,339,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,340,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,341,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,342,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,343,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,344,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,345,2011,2011,2011,17.6
B,B1,0,2011,1,1,1,na,346,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,347,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,348,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,349,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,350,2011,2011,2011,10.7
